brand_name,full_label,strength,reason,source,needs_manual_review
AMLOSARTAN ZENTIVA,AMLOSARTAN ZENTIVA 10mg/160mg Comp.Pell. Bt 30,10mg/160mg,no_priority_inn_or_seed_match,PCT,true
AMLOSARTAN ZENTIVA,AMLOSARTAN ZENTIVA 5mg/160mg Comp.Pell. Bt 30,5mg/160mg,no_priority_inn_or_seed_match,PCT,true
AMLOTENS,AMLOTENS 10mg Gél. Bt 30,10mg,no_priority_inn_or_seed_match,PCT,true
AMLOTENS,AMLOTENS 10mg Gél. Bt 90,10mg,no_priority_inn_or_seed_match,PCT,true
AMLOTENS,AMLOTENS 5mg Gél. Bt 30,5mg,no_priority_inn_or_seed_match,PCT,true
AMLOTENS,AMLOTENS 5mg Gél. Bt 90,5mg,no_priority_inn_or_seed_match,PCT,true
AMLOVAR,AMLOVAR 10mg/160mg Comp.Pell. Bt 30,10mg/160mg,no_priority_inn_or_seed_match,PCT,true
AMLOVAR,AMLOVAR 10mg/160mg Comp.Pell. Bt 90,10mg/160mg,no_priority_inn_or_seed_match,PCT,true
AMLOVAR,AMLOVAR 5mg/160mg Comp.Pell. Bt 30,5mg/160mg,no_priority_inn_or_seed_match,PCT,true
AMLOVAR,AMLOVAR 5mg/160mg Comp.Pell. Bt 90,5mg/160mg,no_priority_inn_or_seed_match,PCT,true
AMLOVAR,AMLOVAR 5mg/80mg Comp.Pell. Bt 30,5mg/80mg,no_priority_inn_or_seed_match,PCT,true
AMLOVAR,AMLOVAR 5mg/80mg Comp.Pell. Bt 90,5mg/80mg,no_priority_inn_or_seed_match,PCT,true
AMOCLAN,AMOCLAN 100mg/12.5mg/ml Pdre.P.Susp.Or. Fl 30ml +Ser. doseuse,100mg/12.5mg,no_priority_inn_or_seed_match,PCT,true
AMOCLAN,AMOCLAN 100mg/12.5mg/ml Pdre.P.Susp.Or. Fl 60ml + Ser. doseuse,100mg/12.5mg,no_priority_inn_or_seed_match,PCT,true
AMOCLAN,AMOCLAN 1gr/125mg Pdre.P.Susp.Or. Bt 12 Sachets-Doses,1g,no_priority_inn_or_seed_match,PCT,true
AMOCLAN,AMOCLAN 1gr/125mg Pdre.P.Susp.Or. Bt 24 Sachets-doses,1g,no_priority_inn_or_seed_match,PCT,true
AMOCLAN,AMOCLAN 1gr/200mg Pdre.P.Prép.Inj. Bt 1Fl SS,1g,no_priority_inn_or_seed_match,PCT,true
AMOCLAN,AMOCLAN 500mg/62.5mg Comp.Pell. Fl 12,500mg/62.5mg,no_priority_inn_or_seed_match,PCT,true
AMOCLAN,AMOCLAN 500mg/62.5mg Comp.Pell. Fl 24,500mg/62.5mg,no_priority_inn_or_seed_match,PCT,true
AMOCLAN,AMOCLAN 500mg/62.5mg Pdre.P.Susp.Or. Bt 12 Sachets-Doses,500mg/62.5mg,no_priority_inn_or_seed_match,PCT,true
AMOCLAN,AMOCLAN 500mg/62.5mg Pdre.P.Susp.Or. Bt 24 Sachets-Doses,500mg/62.5mg,no_priority_inn_or_seed_match,PCT,true
AMOXAL,AMOXAL 1gr Comp.Disper. Bt 14,1g,no_priority_inn_or_seed_match,PCT,true
AMOXAL,AMOXAL 250mg Pdre.P.Susp.Or. Fl 100ml,250mg,no_priority_inn_or_seed_match,PCT,true
