"row_number","medicine_label","medicine_value","brand_guess","strength_guess","source_url","scraped_at_utc"
"71","ADOL 500mg Comp. Bt 15","ADOL 500mg Comp. Bt 15","ADOL","500mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"72","ADOL 500mg Comp. Bt 150","ADOL 500mg Comp. Bt 150","ADOL","500mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"73","ADOL EXTRA 500mg/65mg Comp.Pell. Bt 20","ADOL EXTRA 500mg/65mg Comp.Pell. Bt 20","ADOL EXTRA","500mg/65mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"74","ADOLINE 500mg Comp. Bt 10","ADOLINE 500mg Comp. Bt 10","ADOLINE","500mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"75","ADOLINE 500mg Comp. Bt 20","ADOLINE 500mg Comp. Bt 20","ADOLINE","500mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"76","ADOLINE FORT 400mg/25mg Comp. Bt 20","ADOLINE FORT 400mg/25mg Comp. Bt 20","ADOLINE FORT","400mg/25mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"77","ADONTAG 150mg Gél. Bt 18","ADONTAG 150mg Gél. Bt 18","ADONTAG","150mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"78","ADONTAG 150mg Gél. Bt 30","ADONTAG 150mg Gél. Bt 30","ADONTAG","150mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"79","ADONTAG 150mg Gél. Bt 60","ADONTAG 150mg Gél. Bt 60","ADONTAG","150mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"80","ADONTAG 150mg Gél. Fl 14","ADONTAG 150mg Gél. Fl 14","ADONTAG","150mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"81","ADONTAG 150mg Gél. Fl 28","ADONTAG 150mg Gél. Fl 28","ADONTAG","150mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"82","ADONTAG 150mg Gél. Fl 56","ADONTAG 150mg Gél. Fl 56","ADONTAG","150mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"83","ADONTAG 75mg Gél. Fl 14","ADONTAG 75mg Gél. Fl 14","ADONTAG","75mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"84","ADONTAG 75mg Gél. Fl 30","ADONTAG 75mg Gél. Fl 30","ADONTAG","75mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"85","ADRENALINE MEDIS sans conservateur 1mg/1ml Sol.Inj. Bt 10/1ml","ADRENALINE MEDIS sans conservateur 1mg/1ml Sol.Inj. Bt 10/1ml","ADRENALINE MEDIS sans conservateur","1mg/1ml","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"86","ADRENALINE SOPHARMA 1mg/ml Sol.Inj. Bt 10/1ml","ADRENALINE SOPHARMA 1mg/ml Sol.Inj. Bt 10/1ml","ADRENALINE SOPHARMA","1mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"87","ADRENOL 1 (Avec sulfite) 1mg/ml Sol.Inj. Bt 100 Amp./1ml","ADRENOL 1 (Avec sulfite) 1mg/ml Sol.Inj. Bt 100 Amp./1ml","ADRENOL 1 (Avec sulfite)","1mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"88","ADRENOL 1 (sans sulfites) 1mg/ml Sol.Inj. Bt 100/1ml","ADRENOL 1 (sans sulfites) 1mg/ml Sol.Inj. Bt 100/1ml","ADRENOL 1 (sans sulfites)","1mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"89","ADRIBLASTINE 10mg/5ml Sol.P.Perf. Bt 1Fl/5ml (F)","ADRIBLASTINE 10mg/5ml Sol.P.Perf. Bt 1Fl/5ml (F)","ADRIBLASTINE","10mg/5ml","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"90","ADRIBLASTINE 50mg/25ml Sol.Inj.P.Perf. Bt 1Fl/25ml (F)","ADRIBLASTINE 50mg/25ml Sol.Inj.P.Perf. Bt 1Fl/25ml (F)","ADRIBLASTINE","50mg/25ml","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"91","ADVAGRAF LP 0.5mg Gél. à libération prolongée Bt 100","ADVAGRAF LP 0.5mg Gél. à libération prolongée Bt 100","ADVAGRAF LP","0.5mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"92","ADYBREX 200mg Gél. Bt 10","ADYBREX 200mg Gél. Bt 10","ADYBREX","200mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"93","ADYBREX 200mg Gél. Bt 20","ADYBREX 200mg Gél. Bt 20","ADYBREX","200mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"94","ADYBREX 200mg Gél. Bt 30","ADYBREX 200mg Gél. Bt 30","ADYBREX","200mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"95","ADYFLU 75mg Gél. Bt 10","ADYFLU 75mg Gél. Bt 10","ADYFLU","75mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"96","AERIUS 0.5mg/ml Sol.Buv. Fl 150ml","AERIUS 0.5mg/ml Sol.Buv. Fl 150ml","AERIUS","0.5mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"97","AERIUS 5mg Comp.Pell. Bt 15","AERIUS 5mg Comp.Pell. Bt 15","AERIUS","5mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"98","AEROFOR 12µg Gél. Bt 30 +Inhalateur","AEROFOR 12µg Gél. Bt 30 +Inhalateur","AEROFOR","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"99","AEROFOR 12µg Gél. Bt 60 +Inhalateur","AEROFOR 12µg Gél. Bt 60 +Inhalateur","AEROFOR","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"100","AEROL 100µg Aérosol Fl 200 Doses","AEROL 100µg Aérosol Fl 200 Doses","AEROL","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"101","AEROL 100µg Aérosol Fl 200Doses","AEROL 100µg Aérosol Fl 200Doses","AEROL","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"102","AERONIDE 200µg Pdre P.Inha.Bucc. Bt 60 Gél. +Inhalateur","AERONIDE 200µg Pdre P.Inha.Bucc. Bt 60 Gél. +Inhalateur","AERONIDE 200µg Pdre P.Inha.Bucc. Bt","60G","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"103","AERONIDE 400µg Pdre P.Inha.Bucc. Bt 60 Gél. +Inhalateur","AERONIDE 400µg Pdre P.Inha.Bucc. Bt 60 Gél. +Inhalateur","AERONIDE 400µg Pdre P.Inha.Bucc. Bt","60G","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"104","AFINITOR 10mg Comp. Bt 30","AFINITOR 10mg Comp. Bt 30","AFINITOR","10mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"105","AFINITOR 5mg Comp. Bt 30","AFINITOR 5mg Comp. Bt 30","AFINITOR","5mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"106","AFTAGEL Gel Buccal Tb 15ml","AFTAGEL Gel Buccal Tb 15ml","AFTAGEL Gel Buccal Tb","15ml","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"107","AFUSIDIC 2% Crème Derm. Tb 15gr","AFUSIDIC 2% Crème Derm. Tb 15gr","AFUSIDIC","2%","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"108","AFUSIDIC 2% Crème Derm.Tb 15gr","AFUSIDIC 2% Crème Derm.Tb 15gr","AFUSIDIC","2%","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"109","AFUSIDIC 2% Pde.Derm. Tb 15gr","AFUSIDIC 2% Pde.Derm. Tb 15gr","AFUSIDIC","2%","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"110","AFUSIDIC 250mg Comp.Pell. Bt 10","AFUSIDIC 250mg Comp.Pell. Bt 10","AFUSIDIC","250mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"111","AFUSIDIC 250mg Comp.Pell. Bt 20","AFUSIDIC 250mg Comp.Pell. Bt 20","AFUSIDIC","250mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"112","AFUSIDIC PLUS 2% Crème Derm. Tb 15gr","AFUSIDIC PLUS 2% Crème Derm. Tb 15gr","AFUSIDIC PLUS","2%","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
